# MARIO : 0,1,15 bên file Mario.txt
[MARIO]
.\textures\Mario\Mario.txt
[TEXTURES]
# id	file_path	transparent_color_r	g	b
# BRICK / ITEM BRICK / QUESTION BRICK / QUESTION BRICK ITEM / BRICK ITEM
2	textures\misc.png	176	224	248
3	textures\misc1.png	176	224	248
# WARPPIPE 
4	textures\enemies.png	3	26	110
# RED FIRE PLANT
5	textures\enemies3.png	156	219	239
# GOOMBA/KOOPAS
6	.\textures\Enemy\Goomba_Koopas\Left.png	19	36	36
7	.\textures\Enemy\Goomba_Koopas\Right.png	19	36	36
8	.\textures\Enemy\Goomba_Koopas\LeftUp.png	19	36	36
9	.\textures\Enemy\Goomba_Koopas\RightUp.png	19	36	36
# PLANT
10	.\textures\Enemy\Plant\GreenFirePlant.png	156	219	239
11	textures\ScoreBoard - Copy.png	255	255	255
# EFFECT
14	.\textures\Effect\enemy.png	68	145	190
# HUD : 12, 13 bên file HUD.txt
[HUD]
.\textures\HUD\HUD.txt

[MAP]
300	textures\World\World1\Scene1.1Tile.png	255	255	255	textures\World\World1\Scene1.1Map.txt
# id	left	top	right	bottom	texture_id




[SPRITES]
#======= BRICK =========
200	408	225	424	241	2
#======= ITEM BRICK =========
201	372	135	388	151	2
202	354	135	370	151	2
203	336	135	352	151	2
204	318	135	334	151	2
205	300	135	316	151	2
#GOOMBA
300	9	11	25	27	6
301	32	11	48	27	6
#die
302	54	18	70	27	6
#die 2
303	299	341	315	357	8
# ======= RED KOOPAS=========
#walk left
50001	28	67	44	93	6
50002	47	66	63	93	6
#walk right
50011	280	67	296	93	7
50012	260	66	276	93	7
#shell
50013	29	97	45	113	6
# shell right
50014	258	96	274	112	7
# shell middle
50015	71	96	87	112	6
# shell left 
50016	50	96	66	112	6
# Shell 2
50017	279	255	295	271	8
# shell 2 right
50018	258	256	274	272	8
# shell 2 middle
50019	237	256	253	272	8
# shell 2 left 
50020	50	256	66	272	9
# shell revive 
50021	71	75	89	91	6
# shell 2 revive 
50022	71	277	89	293	9

# ======= GREEN KOOPAS=========
#walk left
50023	31	119	47	145	6
50024	50	118	66	145	6
#walk right
50025	277	119	293	145	7
50026	258	118	274	145	7
#shell
50027	32	149	48	165	6
# shell right
50028	255	148	271	164	7
# shell middle
50029	74	148	90	164	6
# shell left 
50030	53	148	69	164	6
# Shell 2
50031	276	203	292	219	8
# shell 2 right
50032	255	204	271	220	8
# shell 2 middle
50033	234	204	250	220	8
# shell 2 left 
