# MARIO : 0,1,15,16 bên file Mario.txt
[MARIO]
.\textures\Mario\Mario.txt
[TEXTURES]
# id	file_path	transparent_color_r	g	b
# BRICK / ITEM BRICK / QUESTION BRICK / QUESTION BRICK ITEM / BRICK ITEM
2	textures\misc.png	176	224	248
3	textures\misc1.png	176	224	248
# WARPPIPE 
4	textures\enemies.png	3	26	110
# RED FIRE PLANT
5	textures\enemies3.png	156	219	239
# GOOMBA/KOOPAS
6	.\textures\Enemy\Goomba_Koopas\Left.png	19	36	36
7	.\textures\Enemy\Goomba_Koopas\Right.png	19	36	36
8	.\textures\Enemy\Goomba_Koopas\LeftUp.png	19	36	36
9	.\textures\Enemy\Goomba_Koopas\RightUp.png	19	36	36
# PLANT
10	.\textures\Enemy\Plant\GreenFirePlant.png	156	219	239
11	textures\ScoreBoard - Copy.png	255	255	255
# EFFECT
14	.\textures\Effect\effect.png	68	145	190
# ITEM
17	.\textures\Item\Item.png	68	145	190
# MONEY, FLYWOOD
18	.\textures\Object\Object.png	68	145	190
# boomerang
19	.\textures\Enemy\enemy.png	68	145	190
# không để dưới 2 cái này
# HUD : 12, 13 bên file HUD.txt
[HUD]
.\textures\HUD\HUD.txt
[MAP]
10000	.\textures\World\World1\Scene1.4Tile.png	255	255	255	.\textures\World\World1\Scene1.4Map.txt
[SETTINGS]
cam	0	40	2080	176	1
time	300
scene	2
# id	left	top	right	bottom	texture_id
[SPRITES]
# ======= GREEN FLY KOOPAS=========
# jump left
50050	105	93	121	120	6
50051	126	94	142	120	6
50052	147	93	163	120	6

#======= BRICK =========
200	199	12	215	28	18
#======= ITEM BRICK =========
201	372	135	388	151	2
202	354	135	370	151	2
203	336	135	352	151	2
204	318	135	334	151	2
205	300	135	316	151	2
# Break item brick
# Left
210	168	15	176	23	18
# Right
211	180	15	188	23	18
#GOOMBA
300	9	11	25	27	6
301	32	11	48	27	6
#die
302	54	18	70	27	6
#die 2
303	299	341	315	357	8
# ======= RED KOOPAS=========
#walk left
50001	28	67	44	93	6
50002	47	66	63	93	6
#walk right
50011	280	67	296	93	7
50012	260	66	276	93	7
#shell
50013	29	97	45	113	6
# shell right
50014	258	96	274	112	7
# shell middle
50015	71	96	87	112	6
# shell left 
50016	50	96	66	112	6
# Shell 2
50017	279	255	295	271	8
# shell 2 right
50018	258	256	274	272	8
# shell 2 middle
50019	237	256	253	272	8
# shell 2 left 
50020	50	256	66	272	9
# shell revive 
50021	71	75	89	91	6
# shell 2 revive 
50022	71	277	89	293	9
# ======= GREEN KOOPAS=========
#walk left
50023	31	119	47	145	6
50024	50	118	66	145	6
#walk right
50025	277	119	293	145	7
50026	258	118	274	145	7
#shell
50027	32	149	48	165	6
# shell right
50028	255	148	271	164	7
# shell middle
50029	74	148	90	164	6
# shell left 
50030	53	148	69	164	6
# Shell 2
50031	276	203	292	219	8
# shell 2 right
50032	255	204	271	220	8
# shell 2 middle
50033	234	204	250	220	8
# shell 2 left 
50034	53	204	69	220	9
# shell revive 
50035	74	127	92	143	6
# shell 2 revive 
50036	74	225	92	241	9
# ======= GREEN FLY KOOPAS=========
# jump left
50037	105	129	121	156	6
50038	126	130	142	156	6
50039	147	129	163	156	6
#walk right
50040	203	129	219	156	7
50041	182	130	198	156	7
50042	161	129	177	156	7

#question brick normal
400	300	117	316	133	2
401	318	117	334	133	2
402	336	117	352	133	2
403	355	117	370	133	2
#question brick collision
404	372	117	388	133	2

#WarpPipe
500	5	86	21	102	4
501	21	86	37	102	4
502	5	102	21	118	4
503	21	102	37	118	4

#block
600	5	86	21	102	4

# ===== QUESTION BRICK ITEM ========
# MushRoom
800	300	189	316	205	2
#Money
801	11	11	21	27	18
802	26	11	40	27	18
803	45	11	55	27	18
806	60	11	74	27	18
# Leaf Left
804	300	208	316	222	2
# Leaf Right 
805	323	208	339	222	3

# ===== BRICK ITEM ========
# Green MushRoom
810	318	189	334	205	2
#======== BUTTON P =========
# Not Press
811	12	13	28	29	17
812	34	13	50	29	17
813	59	13	75	29	17
# IsPress
814	82	23	98	29	17

#=====  RED FIRE PLANT ========
# Up Right
900	8	188	24	220	5
# Up Mouth Right
901	28	188	44	220	5
# Down Right
902	48	188	64	220	5
#  Down Mouth Right
903	68	188	84	220	5
# Up Left
904	104	99	120	131	5
# Up Mouth Left
905	84	99	100	131	5
# Down Left
906	64	99	80	131	5
#  Down Mouth Left
907	44	99	60	131	5

#===== GREEN PLANT ========
# Mouth Open
910	7	108	23	131	6
# Mouth Close
911	7	137	23	161	6

#=====  GREEN FIRE PLANT ========
# Up Left
912	104	99	120	123	10
# Up Mouth Left
913	84	99	100	123	10
# Down Left
914	64	99	80	123	10
#  Down Mouth Left
915	44	99	60	123	10

#======== Fire Bullet ========
# Right
1000	240	554	248	562	0
1001	258	553	266	562	0
1002	258	574	266	582	0
1003	240	573	248	582	0
# Left
1004	198	554	206	562	0
1005	180	553	188	562	0
1006	180	574	188	582	0
1007	198	573	206	582	0

#======== Effect =========
# Smoke
1100	68	10	84	26	14
1101	86	12	98	24	14
1102	102	12	114	24	14
1103	118	13	129	23	14
# HIT FIREBULLET
1105	9	14	23	28	14
1106	32	17	43	28	14
1107	51	20	59	28	14
# HIT TAIL
1108	138	10	157	26	14

# SCORE
# 100
1110	10	40	21	48	14
# 200
1111	28	40	40	48	14
# 400
1112	47	40	59	48	14
# 800
1113	67	40	79	48	14
# 1000
1114	87	40	102	48	14
# 2000
1115	109	40	125	48	14
# 4000
1116	131	40	147	48	14
# 8000
1117	154	40	170	48	14
# 1UP
1118	179	40	210	50	14

#======== MARIO TAIL =========
# RIGHT
# 0
1200	366	261	372	268	15
# 1
1201	373	257	380	266	15
# 2
1202	382	261	388	268	15
# 3
1203	391	262	396	270	15
# 4
1204	366	278	372	284	15
# 5
1205	374	276	380	284	15
# 6
1206	383	275	388	283	15
# 7
1207	389	274	396	280	15
# INVISIBLE
1208	360	261	365	266	15

# LEFT
# 0
1210	268	261	274	268	16
# 1
1211	260	257	267	266	16
# 2
1212	252	261	258	268	16
# 3
1213	244	262	249	270	16
# 4
1214	268	278	274	284	16
# 5
1215	260	276	266	284	16
# 6
1216	252	275	257	283	16
# 7
1217	244	274	251	280	16
#======== FLY WOOD =========
1300	82	11	130	27	18
# ======= BOOMERANG ENEMY =========
#  walk right
1350	316	10	332	34	19
1351	291	10	307	34	19
# walk left
1352	338	10	354	34	19
1353	363	10	379	34	19
# throw right
1354	268	10	284	34	19
1355	246	10	262	34	19
# throw left
1356	386	10	402	34	19
1357	408	10	424	34	19
# die right
1358	204	10	220	34	19
# die left
1359	224	10	240	34	19

#======== CARD =========
# STAR
90005	11	41	41	68	17
# FLOWER
90006	50	41	80	68	17
# MUSHROOM
90007	89	41	119	68	17
# EMPTY 
90008	128	41	158	68	17

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
# ====== BRICK =========
200	200	100
# ====== ITEM BRICK =========
201	201	100	202	100	203	100	204	100	205	100
# ====== Break ITEM BRICK =========
# Left
210	210	100
# Right
211	211	100
# ==== GOOMBA  =========
# walk
300	300	100	301	100
# die
301	302	100
# die 2
302	303	100
# ======= RED KOOPAS =========
#walk left
350	50001	100	50002	100
#walk right
351	50011	100	50012	100
#shell
352	50013	100
# shell 2
353	50017	100
# shell right
354	50013	150	50014	200	50015	150	50016	150
# shell left
355	50013	150	50016	200	50015	150	50014	150
# shell 2 right
356	50017	150	50018	200	50019	150	50020	150
# shell 2 left
357	50017	150	50020	200	50019	150	50018	150
# shell revive
358	50013	150	50021	150
# shell 2 revive
359	50017	150	50022	150
# ======= GREEN KOOPAS =========
#walk left
360	50023	100	50024	100
#walk right
361	50025	100	50026	100
#shell
362	50027	100
# shell 2
363	50031	100
# shell right
364	50027	150	50028	200	50029	150	50030	150
# shell left
365	50027	150	50030	200	50029	150	50028	150
# shell 2 right
366	50031	150	50032	200	50033	150	50034	150
# shell 2 left
367	50031	150	50034	200	50033	150	50032	150
# shell revive
368	50027	150	50035	150
# shell 2 revive
369	50031	150	50036	150
# ======= GREEN FLY KOOPAS =========
#walk left
370	50037	100	50038	100	50039	100
#walk right
371	50040	100	50041	100	50042	100
# ======= Red FLY KOOPAS =========
#walk left
375	50050	100	50051	100	50052	100
#WarpPipe
500	500	100
501	501	100
502	502	100
503	503	100
# ==== QUESTION MARK BRICK =========
602	400	1000	400	100	401	100	402	100	403	100
# Empty
603	404	100
# ==== Question Brick Item =====
# Money
800	801	100	802	100	803	100	806	100
# MushRoom
801	800	100
# Leaf Left
802	804	100
# Leaf Right 
803	805	100
# ===== BRICK ITEM =====
# Green MushRoom
810	810	100
#	BUTTON P
# Not Press
811	811	100	812	100	813	100
# IsPress
812	814	100
#==== RED FIRE PLANT ====
# Appear/Hide Up Right
900	900	100	901	100
# Appear/Hide Down Right
901	902	100	903	100
# Appear/Hide Up Left
902	904	100	905	100
# Appear/Hide Down Left
903	906	100	907	100
# Attack Up Right
904	901	100
# Attack Down Right
905	903	100
# Attack Up Left
906	905	100
# Attack Down Left
907	907	100
#===== GREEN PLANT ========
# HIDE/APPEAR
910	910	100	911	100
#=====  GREEN FIRE PLANT ========
# Appear/Hide Up Left
911	912	100	913	100
# Appear/Hide Down Left
912	914	100	915	100
# Attack Up Left
913	913	100
# Attack Down Left
914	915	100
# ====  Fire Bullet ======
# Right
1000	1000	500	1001	500	1002	500	1003	500
# Left
1001	1004	100	1005	100	1006	100	1007	100
# ====== Effect =======
# smoke
1100	1100	50	1101	50	1102	50	1103	50
# HIT FIREBULLET
1101	1105	50	1106	50	1107	50
# HIT FIREBULLET
1110	1108	100

