[CELLWIDTH,CELLHIEGHT]
144	144
[OBJECTS]
# #0.category	1.objtype	2.x	3.y	4.bboxwidth	5.bboxheight
#Mario
0	0	10	360	12	14
#======================================================================================================
#=============================================== OBJECTS ==============================================
#======================================================================================================
#----------------------------------------------- QUESTION BRICK --------------------------------------
1	25	176	352	32	16
1	25	224	304	32	16
1	25	416	320	64	16
1	25	656	384	64	16
1	25	720	352	64	16
1	25	1472	368	64	16
#----------------------------------------------- BRICK ------------------------------------------------
#Category	type	x	y	ani_set_id	type_brick( 0: normal, 1: cloud)
1	27	1504	336	32	16
1	27	1600	368	16	16
1	27	1584	384	32	16
1	27	1568	400	48	16
1	27	1664	368	16	16
1	27	1664	384	32	16
1	27	1664	400	48	16
1	27	1408	192	64	16
1	27	1488	176	208	16
1	27	2272	304	32	16
1	27	2272	368	32	16
#----------------------------------------------- BLOCK -----------------------------------------
1	6	240	368	48	48
1	6	272	336	48	80
1	6	400	368	80	48
1	6	464	336	64	80
1	6	512	304	64	112
1	6	512	384	96	32
1	6	1264	384	112	32
1	6	1296	352	112	64
1	6	1328	320	112	96
1	6	1312	144	64	32
1	6	2144	368	48	48
1	6	2176	272	48	144
#----------------------------------------------- GROUND -----------------------------------------
1	7	0	416	624	16
1	7	624	400	464	32
1	7	1152	416	352	16
1	7	1536	416	80	16
1	7	1664	416	576	16
1	7	2272	416	560	16
1	7	1408	192	64	16
1	7	1488	176	208	16
#----------------------------------------------- LIST ITEM BRICK -----------------------------------
1	24	1440	128	16	16
1	24	1984	368	64	16
1	24	1968	384	80	16
1	24	1952	400	112	16
1	24	2096	384	16	16
1	24	2096	400	32	16
#======================================================================================================
#=============================================== ENEMY ================================================
#======================================================================================================
#----------------------------------------------- GOOMBA -----------------------------------------------
2	2	220	400	16	15
2	2	450	400	16	15
2	2	1040	368	16	15
2	2	1008	368	16	15
#----------------------------------------------- RED GOOMBA -----------------------------------------------
2	26	1072	368	20	19
#----------------------------------------------- RED KOOPAS --------------------------------------------
2	3	544	350	16	24
2	3	2108	320	16	24
#----------------------------------------------- GREEN KOOPAS -----------------------------------------
2	10	1472	370	16	24
#----------------------------------------------- GREEN FLY KOOPAS --------------------------------------
2	11	1408	272	16	26
2	11	1376	272	16	26
2	11	1344	272	16	26
#---------------------------------------- RED FIRE PLANT --------------------------------------
2	9	360	300	16	32
#--------------------------------------- GREEN PLANT ------------------------------------------
2	15	1792	250	16	24
#--------------------------------------- GREEN FIRE PLANT -------------------------------------
2	16	1856	250	16	24
#----------------------------------------------- WARPPIPE -----------------------------------------
#0.category	1.objtype	2.x	3.y	4.aniset_id	width	height	HiddenWorld
1	200	352	368	32	48
1	200	1792	384	32	32
1	200	1856	368	32	48
1	200	2272	112	32	192
1	200	2272	384	32	32
1	200	2336	384	32	32
#======================================================================================================
#=============================================== ITEM ==============================================
#======================================================================================================
#----------------------------------------------- CARD -----------------------------------------
3	19	2688	336	30	28
#----------------------------------------------- COIN -----------------------------------------
3	12	1072	320	16	16
3	12	1104	304	16	16
3	12	1136	288	16	16
3	12	1168	272	16	16
3	12	1200	256	16	16
3	12	1328	80	16	16
3	12	1344	80	16	16
3	12	1360	80	16	16
3	12	1472	112	16	16
3	12	1488	112	16	16
3	12	1536	128	16	16
3	12	1552	128	16	16
3	12	1568	128	16	16
3	12	1584	128	16	16
3	12	1616	112	16	16
3	12	1632	112	16	16
3	12	1648	112	16	16
3	12	1664	112	16	16
3	12	1696	144	16	16
3	12	1728	112	16	16
3	12	1760	128	16	16
3	12	1808	96	16	16
3	12	1840	128	16	16
