[CELLWIDTH,CELLHIEGHT]
144	144
[OBJECTS]
# #0.category	1.objtype	2.x	3.y	4.bboxwidth	5.bboxheight
#Mario
0	0	20	300	12	
#0	0	800	300	12	14
#======================================================================================================
#=============================================== OBJECTS ==============================================
#======================================================================================================
#----------------------------------------------- GROUND -----------------------------------------
1	7	0	416	1280	16
1	7	1296	416	176	16
1	7	1504	416	1056	16
#----------------------------------------------- BLOCK -----------------------------------------
1	6	176	384	64	32
1	6	224	336	64	32
1	6	1552	368	80	32
1	6	1568	272	64	32
1	6	1648	336	64	32
1	6	1728	304	64	32
1	6	1760	352	80	32
1	6	1856	320	64	32
1	6	1936	288	64	128
#----------------------------------------------- LIST ITEM BRICK -----------------------------------
#0.Category	1.obj_type	2.x	3.y	4.ani_set_id	5.number of brick	6. list of type of brick
1	24	512	400	48	16
1	24	512	384	16	16
1	24	512	368	32	16
1	24	512	352	48	16
1	24	560	368	32	16
1	24	608	400	48	16
1	24	576	384	80	16
1	24	592	352	32	16
1	24	640	352	16	16
1	24	592	336	64	16
#----------------------------------------------- QUESTION BRICK --------------------------------------
1	25	528	384	16	16
1	25	640	368	16	16
#----------------------------------------------- MUSIC BRICK --------------------------------------
1	28	480	368	16	16
1	28	512	336	16	16
#----------------------------------------------- HIDDEN MUSIC BRICK --------------------------------------
1	29	544	368	16	16
#----------------------------------------------- BRICK ------------------------------------------------
#Category	type	x	y	ani_set_id	type_brick( 0: normal, 1: cloud)
1	27	720	352	64	16
1	1	832	352	16	16
1	1	832	368	16	16
1	1	832	384	16	16
1	1	832	400	16	16
1	1	960	368	16	16
1	1	960	384	16	16
1	1	960	400	16	16
1	1	1088	352	16	16
1	1	1088	368	16	16
1	1	1088	384	16	16
1	1	1088	400	16	16
1	1	1216	352	16	16
1	1	1216	368	16	16
1	1	1216	384	16	16
1	1	1216	400	16	16
#======================================================================================================
#=============================================== ENEMY ================================================
#======================================================================================================
#----------------------------------------------- GOOMBA -----------------------------------------------
#2	2	880	384	16	15
#2	2	1600	384	16	15
#2	2	1632	384	16	15
#----------------------------------------------- RED GOOMBA -----------------------------------------------
#2	26	1008	384	20	19
#2	26	1136	384	20	19
#----------------------------------------------- FLY GOOMBA -----------------------------------------------
#2	30	2016	352	20	19
#----------------------------------------------- GREEN KOOPAS -----------------------------------------
#2	10	176	384	16	24
#2	10	784	384	16	24
#----------------------------------------------- BOOMERANG ENEMY --------------------------------------
#2	21	336	384	16	24
#2	21	1360	384	16	24
#----------------------------------------------- RED KOOPAS --------------------------------------------
#2	3	608	304	16	24
#======================================================================================================
#=============================================== ITEM ==============================================
#======================================================================================================
#----------------------------------------------- CARD -----------------------------------------
3	19	2430	330	30	28
#----------------------------------------------- COIN -----------------------------------------
3	12	1008	320	16	16
3	12	1024	320	16	16
3	12	1040	320	16	16
3	12	1136	320	16	16
3	12	1152	320	16	16
3	12	1168	320	16	16
