[CELLWIDTH,CELLHIEGHT]
160	160
[OBJECTS]
# #0.category	1.objtype	2.x	3.y	4.bboxwidth	5.bboxheight
#Mario
0	0	10	360	12	14
#======================================================================================================
#=============================================== OBJECTS ==============================================
#======================================================================================================
#----------------------------------------------- GROUND -----------------------------------------
1	7	0	416	1008	16
#----------------------------------------------- LIST ITEM BRICK -----------------------------------
#0.Category	1.obj_type	2.x	3.y	4.ani_set_id	5.number of brick	6. list of type of brick
1	24	640	176	16	16
#----------------------------------------------- COIN -----------------------------------------
3	12	160	352	16	16
3	12	176	336	16	16
3	12	192	352	16	16
3	12	208	336	16	16
3	12	224	352	16	16
3	12	240	336	16	16
3	12	256	352	16	16
3	12	320	336	16	16
3	12	336	352	16	16
3	12	352	336	16	16
3	12	368	352	16	16
3	12	384	336	16	16
3	12	400	352	16	16
3	12	416	336	16	16
3	12	464	352	16	16
3	12	480	336	16	16
3	12	496	352	16	16
3	12	512	336	16	16
3	12	528	352	16	16
3	12	544	336	16	16
3	12	560	352	16	16
3	12	608	336	16	16
3	12	624	352	16	16
3	12	640	336	16	16
3	12	656	352	16	16
3	12	672	336	16	16
3	12	688	352	16	16
3	12	704	336	16	16
3	12	784	352	16	16
3	12	800	336	16	16
3	12	816	352	16	16
3	12	832	336	16	16
3	12	848	352	16	16
3	12	864	336	16	16
3	12	880	352	16	16
3	12	592	160	16	16
3	12	592	176	16	16
3	12	592	192	16	16
3	12	608	144	16	16
3	12	608	160	16	16
3	12	608	192	16	16
3	12	608	208	16	16
3	12	624	128	16	16
3	12	624	144	16	16
3	12	624	208	16	16
3	12	624	224	16	16
3	12	640	128	16	16
3	12	640	224	16	16
3	12	656	208	16	16
3	12	656	224	16	16
3	12	656	128	16	16
3	12	656	144	16	16
3	12	672	192	16	16
3	12	672	208	16	16
3	12	672	144	16	16
3	12	672	160	16	16
3	12	688	160	16	16
3	12	688	176	16	16
3	12	688	192	16	16
#======= WARPPIPE =========
#objtype	x	y	aniset_id	width	height	HiddenWorld	Color
1	200	864	368	32	64
